user_id,user,tweet_id,text,location,date
3734484557,curtis_briscoe,1442962044739731456,Thousands of hospital workers could be fired as New York COVID vaccine mandate goes into effect… https://t.co/KoIUAjuceh,,2021-09-28 21:18:55+00:00
139817954,knittwittier,1442962008379330561,"@TimCheek5 @KiarKini @akheriaty No, I got a vaccine. Lots of em, in fact. Covid’s just the freshest. Because I’m no… https://t.co/ZWt8Iq1LTZ",,2021-09-28 21:18:46+00:00
964384908,smithea1,1442961994148196352,"New York hospitals fire, suspend staff who refuse COVID vaccine https://t.co/y6ZDo8cCZP",,2021-09-28 21:18:42+00:00
21613829,AmySavinParker,1442961992529047555,"@gahuti @mtracey @matthewstoller He can still spread it even if he doesn’t die from it.

https://t.co/VyAGKRVxEC",,2021-09-28 21:18:42+00:00
63202181,breakingPDXnews,1442961959888973826,"Mecury: Pfizer Booster Shots Now Available for High-Risk Oregonians, State Officials Announce: by Isabella Garcia A… https://t.co/OPzO9sv35T",,2021-09-28 21:18:34+00:00
1411063214675312645,PalmettoDemo,1442961957863055362,@Kurt_Pedraza @walzstreet @WokePreacherTV You’re completely taking everything out of context. The Doctor was saying… https://t.co/6lsBJ79H04,,2021-09-28 21:18:34+00:00
1052716628,1DalM,1442961952867696642,"@NIHDirector If you are cool with it, I'm going to lace candy with some Moderna covid vaccine to hand out to kids a… https://t.co/PmiDhvXwkl",,2021-09-28 21:18:33+00:00
2171888910,urmaker69,1442961952834088961,@contractorwolf @SugarCreekLabs @mcemptiness19 @susankreizman @washingtonpost It also doesn't stop you from getting… https://t.co/rj7CkA2cf6,,2021-09-28 21:18:33+00:00
1369878408587476994,nonstoptovegas,1442961923914420224,"@Ellengrady2 @thatdaneshguy Criminal? HAHAHA Heir Commandant.

 You cannot force people to take a vaccine that has… https://t.co/eSKFgI3N7s",,2021-09-28 21:18:26+00:00
38116279,CrankyLinuxUser,1442961912493481985,"This anecdote, which happened in countless times to many ill people....

Is why I am for rejecting treatment for 18… https://t.co/w7nWW0N2RF",,2021-09-28 21:18:23+00:00
47865759,SnohomishTimes,1442961900988293126,"If you completed your Pfizer COVID-19 vaccine series 6+ months ago, you may be eligible to receive a free Pfizer bo… https://t.co/ggZzlUAYP9",,2021-09-28 21:18:20+00:00
1283904387816062982,jessa_lou1385,1442961882558648320,@LightRey I think maybe everyone should keep opinions about the vaccine to themselves. It’s definitely not cool to… https://t.co/RHNT2hc0Lr,,2021-09-28 21:18:16+00:00
738552409039994880,JohnChampoli,1442961867446620160,@JasonWMTT @LarsenDisney @AllisonPearson @Beck_Sall @Francis_Hoar Hit their school Twitter pages with this and othe… https://t.co/CNyOMjPQP8,,2021-09-28 21:18:12+00:00
21613829,AmySavinParker,1442961842696040449,"@BellySquelch @mtracey @matthewstoller HE CAN STILL SPREAD IT EVEN IF HE DOESNT DIE FROM IT
https://t.co/VyAGKSd93c",,2021-09-28 21:18:06+00:00
